Blockchain and Distributed Ledger Technology	ブロックチェーンと分散台帳テクノロジー
The third type of Hyperledger Fabric transaction is the query transaction.	3つ目のタイプのHyperledger Fabricトランザクションは、queryトランザクションです。
A query transaction can be done through the CLI (command-line interface) and/or programmatically through the Hyperledger Fabric SDKs.	queryトランザクションは、CLI（コマンドライン インターフェイス）やHyperledger Fabric SDKを通して、プログラムで実行できます。
Query transactions usually go through the Invoke chaincode function as well.	queryトランザクションも通常、Invokeチェーンコード関数を使用します。
The main difference is that queries don't modify the ledger in any way, instead just returning data from it.	おもな違いは、queryは台帳を変更せず、単に台帳からのデータを返す点です。
Reading from the Ledger, Writing to the Ledger	台帳からの読み取り、台帳への書き込み I
An invoked chaincode can read the state of the ledger (e.g. read or obtain the current value of BalanceOfAlice) or it can update (or write to) the ledger.	invokeされたチェーンコードは、台帳のステートの読み取り（たとえば、BalanceOfAliceの現在の値を読み取るか取得する）、あるいは台帳の更新（または書き込み）をすることができます。
Updating the ledger includes either adding a new key (that was not seen before) to the key/value pairs, or updating a value associated with an existing value of the key which is already in the set of the key/value pairs.	台帳の更新には、（以前には見られなかった）新しいキーをキー/値ペアに追加すること、またはすでにキー/値ペアのセットの中にあるキーの既存の値に関連する値を更新することを含みます。
Client applications invoke already deployed chaincode on behalf of the participants through transactions.	クライアント アプリケーションは、すでにデプロイされているチェーンコードをトランザクションを通じて参加者に代わってinvokeします。
This is why we believe that it may be somewhat more intuitive to think about a chaincode function invocation (through an invoke transaction) in a Hyperledger Fabric blockchain deployment as the decentralized version of the stored procedure paradigm.	Hyperledger Fabricにおけるチェーンコード関数の呼び出しは、ストアド プロシージャーのようなものだと考えると、理解しやすいかもしれません。
The difference is that here, instead of a call to a stored procedure which is executed and operates inside or on top of a centralized database, Hyperledger Fabric invoke transactions are executed by peers, and the changes are committed by each committing peer that is updating their local World State.	ただし、中央集権型データベースの内部で実行・操作されるストアド プロシージャーとは違って、Hyperledger Fabricのトランザクションは複数のpeerで実行されてから、そのトランザクションが各々のcommitterでコミットされ、ワールドステートが更新されます。 ​
Further in the course, there are two hands-on labs that are focused on making sure that you put all this theory into practice: Lab 2 and Lab3.	さらにこのコースでは、この理論をすべて実践することに重点を置いた 2 つのハンズオンラボがあります。 演習 2 と演習 3 です。
You will probably need to go over the next chapter before attempting to do Lab 3, but we highly recommend that you should put the material we covered here to use by completing Lab 2.	演習3 を実行する前に、次の章に進む必要がありますが、演習 2 を完了して、ここで取り上げた資料を使用できるようにすることを強くお勧めします。
Lab 2 is focused on working with chaincode and World State, which will show you how to deploy a chaincode using the command-line interface (CLI), how to invoke chaincode to update the World State through transactions, and later query and examine the World State.	演習2は、チェーンコードとワールドステートの操作に焦点を当てています。 ここでは、コマンドライン インターフェイス（CLI）を使用してチェーンコードをデプロイする方法、トランザクションを通してワールドステートを更新するチェーンコードを呼び出す方法、そして後でワールドステートを照会して調べる方法を説明します。
Hyperledger Fabric Transactions - The Full Lifecycle	Hyperledger Fabric トランザクション - ライフサイクル全体
● Discuss the reasons and some of the requirements that lead to the current design decisions behind Hyperledger Fabric 1.x architecture.	• Hyperledger Fabric 1.xアーキテクチャの背後にある現在のデザイン上の決定につながる理由といくつかの要件について説明する。
● Examine the various components of the consensus services layer (ordering service, endorsement policies, validations, etc.).	• コンセンサス（合意形成）サービス層のさまざまな構成要素（ordering service、endorsement policy、検証など）を調査する。
● Walk through the full lifecycle of a Hyperledger Fabric transaction.	• Hyperledger Fabricトランザクションのライフサイクル全体を確認する。
Getting to Consensus	コンセンサスを得る
Next, we will dive into consensus, an important aspect of blockchain technology in general.	次に、ブロックチェーン テクノロジー全般の重要な側面であるコンセンサスについて見ていきます。
We will then look at how things are implemented in Hyperledger Fabric in particular.	そのあと、Hyperledger Fabricで特に機能がどのように実装されるのかを見ていきます。
According to the Hyperledger Architecture color: blackpaper (2017) , consensus services support the process by which a network of nodes provides a guaranteed ordering of transactions and validates the block of transactions. Consensus must provide the following core functionality:	Hyperledger Architecture color: blackpaper (2017) によれば、consensus servicesは「ノードのネットワークがトランザクションを確実に順序付けし、トランザクションのブロックを検証するプロセス」をサポートし、以下のコア機能を提供する必要があります。
● Confirms the correctness of all transactions in a proposed block, according to endorsement and consensus policies.	• endorsement policy（エンドーズメント ポリシー）とコンセンサスポリシーに従って、提案されたブロック内のすべてのトランザクションの正確さを確認する。
● Agrees on order and correctness and hence on results of execution (implies agreement on global state).	• 順番と正確さ、そして実行の結果へ同意する（グローバルな状態に関する合意を意味する）。
● Interfaces and depends on smart-contract layer (specifically, chaincode and transaction validation) to verify correctness of an ordered set of transactions in a block .	• ブロック内の順序付けられたトランザクションの正しさを検証するために、スマートコントラクト レイヤー（特に、チェーンコードとトランザクションの検証）と連結・依存する。
Distributed Ledger (Recap)	分散台帳（まとめ）
Previously we talked about the distributed ledger, which is comprised of a Transaction Log and a World State.	前章までに、トランザクション ログとワールドステートで構成される分散台帳について説明しました。
We learned about how a client application can deploy chaincode so that it becomes available for future calls or, more precisely, distributed method invocations through an invoke transaction that may read from and/or update the ledger.	クライアント アプリケーションがチェーンコードをdeployして将来の呼び出しや、より正確には台帳の読み取りや更新を行うことができるinvokeトランザクションを介した分散メソッドの呼び出しに対応できるようにする方法について学びました。
We also hope that you have completed Lab 2 by now, which gave you the opportunity to get some hands-on experience with real chaincode, as well as querying the ledger.	また、実際のチェーンコードの使用や、台帳にクエリするハンズオン経験が得られる演習2を完了しましたね。
The Importance of Ordering Transactions Correctly	トランザクションの正しい順序付けの重要性I
We see that the order in which these two transactions are applied really makes a difference.	これら2つのトランザクションが適用される順序によって、実際に違いが生じることがわかります。
As a result of applying T1, and then T2, the value of BalanceOfAlice is 10, while when T2 is applied first, and then T1, the value of BalanceOfAlice is 5.	T1を適用し、次にT2を適用した結果、BalanceOfAliceの値は10になり、T2を最初に適用した後、T1にするとBalanceOfAliceの値は5になります。
This is a well-known concern with distributed and/or parallel computing.	これは、分散コンピューティングや並列コンピューティングに関するよく知られた問題です。
If there is only one transaction at a time, this would not be a concern.	1度に1つのトランザクションしかない場合、これは問題になりません。
But, since such systems are built to scale (in number of peers/clients, applications and transactions), we need to support multiple transactions that may access and visit the same key/value pair more than just once.	しかし、そのようなシステムは（peer/クライアント、アプリケーション、およびトランザクションの数において）スケールするように構築されているため、同じキー/値のペアに複数回アクセスして”訪問する”可能性がある複数のトランザクションをサポートする必要があります。
The system must guarantee consistency.	システムは一貫性を保証する必要があります。
We can't have the BalanceOfAlice being equal to maybe 5, or maybe 10.	BalanceOfAliceをたぶん5、あるいはたぶん10にするといったことはできません。
We need a deterministic procedure that cannot be interpreted in different ways, which guarantees that everybody has the same World State in their ledgers.	異なる「解釈」をすることができない決定論的な手順が必要です。 そうすることで、誰もが台帳に同じワールドステートを確実に持つことができます。
Enter ordering service!	では、ordering serviceについて詳しく見ていきましょう。
Ordering Service in Hyperledger Fabric	Hyperledger Fabricのordering service
Because determinism and consistency are so important, the role of the Ordering Service is vital.	決定論と一貫性が非常に重要であるため、ordering serviceの役割は不可欠です。
An ordering service can be run by one or several nodes.	ordering serviceは1つまたは複数のノードで実行できます。
It creates the actual blocks of the blockchain (by ordering and grouping transactions), while making sure that issues (inconsistencies) like the ones we mentioned will not happen.	先ほど説明したような問題（矛盾）が起こらないようにしながら、（トランザクションの順序付けやグループ化により）ブロックチェーンの実際のブロックを作成します。
But, how does the ordering service help in preventing such inconsistencies?	しかし、そのような矛盾を防ぐのにordering serviceはどのように役立つのでしょうか？
We really do not want some peers to believe that the global World State has BalanceOfAlice = 5 while other peers believe that BalanceOfAlice = 10.	グローバルなワールドステートでBalanceOfAlice = 5であると信じているpeerもあり、BalanceOfAlice = 10であると信じているpeerもある、というのでは困ります。
This is done by using an extra step, in which endorsing peers are simulating each chaincode invocation, and are collecting a set of all the key/value pairs that are being read by the proposed transaction/chaincode invocation, and another set of all the key/value pairs that are going to be written or updated by the proposed transaction/chaincode invocation.	これは、追加のステップを使用することによって行われます。 このステップでは、endorsing peerが各チェーンコードの呼び出しをシミュレートし、実行しようとするトランザクション/チェーンコードの呼び出しによって読み取りされるすべてのキー/値ペアのセット、および実行しようとするトランザクション/チェーンコードの呼び出しによって書き込みまたは更新が行われる予定のすべてのキーの別のセットを収集します。
Later on in the flow (we will go over all the steps shortly), the node(s) running the ordering service will examine all such read sets and write sets and will work to order and group transactions into the next block, so that there aren't any read and write from/to the same key/value pair in the same block.	フローの後半で（まもなくすべての手順を説明します）、ordering serviceを実行しているノードは、そのようなすべてのread setsとwrite setsを調べ、トランザクションを順序付けして次のブロックにグループ化します。 そうして、同じブロック内の同じキー/値のペアに対して読み書きできなくします。
The Endorsement Validation	endorsementの検証（validation）
Hyperledger Fabric has a set of peers connected to each other (this is handled by the Network Protocol); each peer has a copy of the set of key/value pairs of the Distributed Ledger (which has all the transactions and a World State).	Hyperledger Fabricには、互いに接続された複数のpeerがあります（これはネットワークプロトコルによって処理されます）。 各peerは、（すべてのトランザクションとワールドステートを持つ）分散台帳のキー/値ペアのセットのコピーを持っています。
We saw how changes can be made to the World State by invoking chaincode (smart contracts) that can read values from the World State and update the ledger.	ワールドステートから値を読み取り、台帳を更新することができるチェーンコード（スマートコントラクト）を呼び出すことによって、ワールドステートに対してどのように変更を加えることができるかを説明しました。
We also saw the importance of getting the order of such transactions right, which is where the ordering service plays a big role - without the ordering service we may end up with inconsistencies or non-deterministic behavior.	また、このようなトランザクションの順序を正しく取得することの重要性についても確認しました。 これはordering serviceが大きな役割を果たすところです。 ordering serviceがないと、矛盾や不確定な動作が発生する可能性があります。
Next, we will discuss about endorsement validation.	次に、endorsementの検証（validation）について説明します。
This is where the peers that are the endorsers play an important role.	ここは、endorserであるpeerが重要な役割を果たします。
Effectively, we do not want a system where any proposed transaction, or put differently, any request to update the ledger would blindly get accepted.	実質的に、実行しようとするトランザクション、別の言い方をすれば、台帳の更新リクエストが、「やみくもに受け入れられる」ようなシステムは望ましくありません。
This is where the endorsing peers (also referred to as validators) can validate and either endorse (vote in favor) or vote against a proposed transaction.	そこで、endorsing peer（validatorとも言われる）がトランザクションを検証し、そのトランザクションをendorseする(支持する)または拒絶することができます。
In Hyperledger Fabric, there is an agreed-upon endorsement policy which basically states under what conditions a transaction is considered endorsed or widely accepted.	Hyperledger Fabricには、基本的にトランザクションが「endorsed (承認された)」または「widely accepted (広く受け入れられた)」と見なされる条件を明記した合意済みのendorsement policyがあります。
In other words, we can look at the endorsement policy in terms of what needs to happen to get a proposed transaction to be approved or marked as valid by the endorsers.	言い換えれば、実行しようとするトランザクションがendorserによって「approved（承認される）」または「valid（有効）としてマークされる」ためには「何が必要なのか」という観点からendorsement policyを検討することができます。
In Lab 4 at the end of this chapter, you will go over an endorsement policy in detail.	この章の終わりにある演習4では、endorsement policyについて詳しく説明します。
For now, think about a very simple endorsement policy which states that for a transaction to be considered endorsed, we require a majority of endorsers to endorse it.	今のところ、トランザクションが承認されていると見なされるには、それを承認するためにendorserの過半数を必要とするという非常に単純なendorsement policyについて考えてみましょう。
So, if we have 3 endorsers, a simple endorsement policy may require that we need to obtain at least 2 endorsers saying yes.	したがって、3つのendorserがいる場合、シンプルなendorsement policyでは、最低2つのendorserの承認を取得する必要があります。
The last step here, having reached consensus, is to apply the changes to the ledger: adding the transaction to a block, distributing the block, and having all the peers commit the changes to their local copy of the ledger (updating the Transaction Log and the World State).	ここでの合意形成した最後のステップは、変更を台帳に適用することです。 ブロックへのトランザクションの追加、ブロックの配布、およびすべてのpeerが台帳のローカル コピーへの変更を確認すること（トランザクション ログとワールドステートの更新）です。
Lifecycle of a Transaction	トランザクションのライフサイクル
Next, we will go over step-by-step through the full lifecycle of a transaction, from its very first initiation (proposal) by a client application, through all the steps needed to get the transaction into a block and ultimately to update the distributed ledger and the World State.	次に、トランザクションのライフサイクル全体をクライアント アプリケーションによる最初の開始（proposal）から、トランザクションをブロックにまとめて最終的に分散台帳とワールドステートを更新するまでに必要なすべてのステップを段階的に見ていきます。
Propose Transaction	トランザクションの提案
Step 1: The client proposes a transaction to the endorsing peers for endorsement.	ステップ1：クライアントは、endorsing peerにendorsementを受けるためのトランザクションを提案します。
Endorsers Simulate the Proposed Transaction	endorserが提案されたトランザクションをシミュレートする
Step 2: Each of the three endorsing peers (or endorsers) will execute the proposed transaction.	ステップ2：3つのendorsing peer（またはendorser）のそれぞれがproposeされたトランザクションを実行します。
However, it is important to note that, at this point, these executions are not updating each peer's local ledger.	ただし、この時点では、この実行によって各peerのローカル台帳が更新されていないことが重要です。
The client application is using the SDK because it needs to obtain or collect cryptographically signed endorsements from the endorsers.	クライアント アプリケーションはSDKを使用しています。 endorserから電子署名されたendorsementを取得または収集する必要があるためです。
While simulating the execution of a chaincode, the endorser is constructing a list of the data (keys and values) that are read from the ledger (by the chaincode) and the data that will be written if the chaincode was executed in a non-simulation mode.	チェーンコードの実行をシミュレートしている間、endorserは台帳から（チェーンコードによって）読み取られるデータ（キーおよび値）のリスト、およびチェーンコードが非シミュレーション モードで実行された場合に書き込まれるデータのリストを作成しています。
These are two sets: read set and a write set.	これらはread setsとwrite setsの2つのセットです。
Proposal Response	提案への回答
Step 3: Each endorser returns its signed endorsement back to the client (through the SDK), with the read set and the write set which the endorser obtained through simulating the proposed transaction's chaincode.	ステップ3：各endorserは、署名済みのendorsementをクライアントに（SDKを介して）返します。 endorserがトランザクションをシミュレートして得られたread setとwrite setも返されます。
Broadcast Request	ブロードキャスト リクエスト
Step 4: Through the Hyperledger Fabric SDK the client/application submits to the ordering service the signed endorsements (with the read sets and the write sets) that were received from the endorsers.	ステップ4：Hyperledger Fabric SDKを介して、クライアント/アプリケーションは、endorserから受け取った（read setとwrite setを含む）署名付きendorsementをordering serviceに送信します。
This step can be described as a request for the proposed and endorsed transaction to get into a block and get broadcasted.	このステップは、proposeされendorseされたトランザクションをブロックに入れ、ブロードキャストするというリクエストとして説明することができます。
Please note that other SDKs/clients/applications may submit some other transactions to the ordering service; we cannot assume that we have only one single transaction in the system.	他のSDK /クライアント/アプリケーションが他のトランザクションをordering serviceに送信する可能性があることに注意してください。 システム内にトランザクションが1つしかないとは仮定できません。
Validate Endorsements and Order Transactions	endorsementとorder transactionの検証
The orderer gathers transactions into a block in the same order it received them.	ordererは、受け取った順序でトランザクションをブロックにまとめます。
It imposes a deterministic order of the transactions in a block.	ブロックのトランザクションの決定論的な順序を課すのです。
Additionally, it creates an order of blocks, also guaranteeing that it never creates any transactions by itself.	さらに、ordererはブロックの順番を決めます。 また、orderer自身はトランザクションを作成することは決してありません。
Delivery guarantees: the orderer has to deliver the blocks in the order that it created them, with total-order guarantees to the committing peers as well as the other peers.	デリバリー保証：ordererはcommitting peerや他のpeerに対して、ordererが作成した順序通りに(全順序を保障して)ブロックをデリバリーする必要があります。
In fact, the orderer channel has both inbound guarantees (for transactions from the application peers) using broadcast() and outbound guarantees for delivering blocks of transactions, using deliver(), to the client and committing peers.	実際、ordererチャネルには、broadcast()を使用した（アプリケーションpeerからのトランザクションに対する）インバウンド保証と、 deliver()を使用したトランザクションのブロックのクライアントおよびcommitting peerに対するアウトバウンド保証があります。
Deliver Transaction	トランザクションを配信する
Step 6: The block is being delivered/distributed from the ordering service to the committing peers using the peer-to-peer network and the gossip protocol.	ステップ6：ブロックは、P2Pネットワークおよびゴシップ プロトコルを使用してordering serviceからcommitting peer へ配信/配布されています。
Validate and Update the Ledger	台帳の検証と更新
Step 7: Peers will commit changes to the ledger only after the transaction has successfully gone through the full cycle.	ステップ7：トランザクションがサイクル全体を通過した後にのみ、peerは台帳への変更をコミットします。
So, a block is added (see the green block added in the diagram by each committing peer).	そのため、ブロックが追加されます（図では、各committing peerによって緑色のブロックが追加されています）。
Every committing peer validates against the endorsement policy.	すべてのcommitting peerは、endorsement policyに照らして検証を行います。
Also, committing peers check to ensure the read-sets are still valid for the current state.	また、committing peerは、現在のステートに対してread setsがまだ有効であることを確認します。
This is an important step - peers do not blindly trust the ordering service.	peerはordering serviceを「やみくもに信用」するわけではないため、これは重要なステップです。
From the first step when the client/application makes a transaction proposal all the way through the endorsers, when enough endorsements are received, the proposed transaction and its endorsement go through an ordering service, which checks the signed endorsements, verifies that the endorsement policy is satisfied, adds it to a block (possibly groups it with other transactions) and broadcasts it/delivers that block to all the peers.	クライアントやアプリケーションがトランザクションをproposeして、endorserから十分な数のendorsementが得られたら、トランザクションとendorsementをordering serviceに送り、ordererがトランザクションをブロックに追加して（おそらく他のトランザクションとグループ化して）peerにbroadcastしたら、committerは署名されたendorsementがendorsement policyを満たすかどうかを検証します。
Notify Client/Application	クライアント/アプリケーションへの通知
There is one extra step here, which is optional.	ここでオプションのステップがもう1つあります。
Applications can register to be notified when transactions succeed or fail, and when blocks are added to the ledger.	トランザクションが成功した時や失敗した時、およびブロックが台帳に追加された時に、アプリケーションが通知を受けるように設定できます。
Applications will be notified by each peer to which they are connected.	アプリケーションは、接続先の各peerから通知されます。
Components Participating in a Typical Transaction Flow	一般的なトランザクション フローに参加しているコンポーネント
Before we wrap up, here is a quick summary of the main components involved in a typical transaction flow:	コースを締めくくる前に、一般的なトランザクション フローに含まれるおもなコンポーネントの概要について説明しましょう。
● Client/Application	• クライアント/アプリケーション
- Application using Hyperledger Fabric SDK to interact with the Hyperledger Fabric network	- Hyperledger Fabric SDKを使用してHyperledger Fabricネットワークとやりとりするアプリケーション
- Initiates/proposes transactions	- トランザクションを初期化して、提案
● Endorser	• endorser
- Simulates and endorses transaction	- トランザクションをシミュレートしてendorseする
- Must hold chaincode in a Docker container	- チェーンコードは Dockerコンテナに保持することが必要
● Ordering Nodes (service) - Validates endorsements	• ordering nodes (service)
- Groups transactions into a transaction block	- トランザクションをトランザクション ブロックにグループ化 - すべてのcommitterにブロックを配信
● Committer	• committer
- Maintains ledger and state	- 台帳とステートの維持
- Validates and commits transactions.	- トランザクションの検証およびコミット
Membership Services, MSPs, and Channels	メンバーシップ サービス、MSP、およびチャネル
● Explain the concept of Public Key Infrastructure (PKI).	• 公開鍵基盤（PKI）の概念を説明する。
● Discuss about signed certificates and chain of trust.	• 署名された証明書と信頼チェーンについて説明する。
● Discuss about Membership Services and Membership Service Providers.	• メンバーシップ サービスとメンバーシップ サービスプロバイダーについて説明する。
● Explain the concept of channels, how they are set up and how the architecture of channels enforces segregation of data and enhances privacy and confidentiality.	• チャネルの概念、チャネルの設定方法、チャネルのアーキテクチャがデータの分離を強化し、プライバシーと機密性を強化する方法を説明する。
Public Key Infrastructure	公開鍵基盤
As we have seen before, Hyperledger Fabric is a permissioned network, and the identities of participants are tightly controlled.	これまで見てきたように、Hyperledger Fabricはパーミッションド ネットワークであり、参加者のIDは厳密に管理されています。
In existing enterprise systems, as digital commerce and other commercial interactions became prevalent, it became necessary to establish the identity of the parties, while also allowing secure communications.	既存の企業システムでは、デジタル商取引および他の商取引のやりとりが普及するにつれて、安全な通信も可能にしながら、当事者のIDを証明することが必要になりました。
Public Key Infrastructure (PKI) refers to the infrastructure which supports public key cryptography, also known as asymmetric cryptography.	公開鍵基盤（PKI）は、公開鍵暗号（非対称暗号とも呼ばれる）をサポートする基盤を指します。
Public key cryptography is a cryptographic system that uses pairs of keys.	公開鍵暗号は、鍵のペアを使用する暗号化システムです。
The holder generates this pair of keys using a cryptographic function: the public keys are sent to everyone interested in interacting with the holder, while the private keys are kept secret by the owner.	所有者は暗号化機能を使用してこの鍵のペアを生成します。 公開鍵は所有者とのやり取りに関心のあるすべての人に送信され、秘密鍵は所有者によって秘密にされます。
This accomplishes two functions:	これは以下の2つの機能を果たします。
● Authentication, where the public key verifies that a holder of the paired private key sent the message, and	• 認証：公開鍵によって、ペアになっている秘密鍵の所有者がメッセージを送信したことを確認します。
● Encryption, where only the paired private key holder can decrypt the message encrypted with the public key.	• 暗号化： ペアになっている秘密鍵の所有者だけが公開鍵で暗号化されたメッセージを復号化できます。
Furthermore, the public key cannot help in finding the private key.	さらに、公開鍵から秘密鍵を作成することはできません。
Hence in public key cryptography, security consists of keeping the private key secret.	したがって、公開鍵暗号では、セキュリティは秘密鍵を秘密にすることから成り立つのです。
PKI infrastructure is responsible for securing electronic interactions in enterprises and across enterprises.	PKIインフラストラクチャは、企業内および企業間での電子的なやりとりをセキュアにする責任があります。
PKI binds the public keys of entities to their identities, who possess a secret (a private key) that corresponds to their public key.	PKIは、組織の公開鍵を組織のIDに結びつけます。 このIDはその公開鍵に対応する秘密（秘密鍵）を持っています。
These bindings are done through digital certificates signed by a Certificate Authority (CA), which can be verified by using the CA's public key.	この結びつけは、認証局（CA）によって署名されたデジタル証明書を通して行われます。 認証局 (CA) は、CAの公開鍵を使用して、このことは検証できます。
Hyperledger Fabric PKI is governed by the X.509 family of standards.	Hyperledger Fabric PKIは、X.509ファミリの標準規格に準拠しています。
The structure and semantics of the digital certificates and Certificate Revocation Lists (CRLs) in X.509 standards are governed by RFC 5280 .	X.509規格のデジタル証明書と証明書失効リスト（CRL）の構造と意味は、RFC 5280に準拠しています。
This also allows the Hyperledger Fabric Identity Framework to interoperate with existing legacy systems, since almost all enterprises implement X.509-compatible systems.	ほとんどすべての企業がX.509互換システムを実装しているため、これによってHyperledger Fabric Identity Frameworkを既存のレガシー システムと相互運用することもできます。
Digital certificates are detailed and rich structures following the X.509 standard; they have to be signed by a Certificate Authority to be authenticated.	デジタル証明書は、X.509標準に準拠した詳細でリッチな構造です。 認証には認証局による署名が必要です。
They can describe identity attributes in detail, as well as provide trust through a certificate.	デジタル証明書は、アイデンティティ属性を詳細に記述することができ、証明書を通して信頼を提供することができます。
The way in which the certificate data is altered or removed in X.509 is through the use of Certificate Revocation Lists, also to be signed through the chain of trust by certificate authorities.	X.509で証明書データを変更または削除するには、証明書失効リスト(Certificate Revocation List)の使用によって行われ、認証局による信頼チェーンを通して署名されることもあります。
PKI: Chain of Trust	PKI：信頼チェーン
The way PKI works in practice is through a root CA, which is often one of the well-known CAs (such as Symantec, Verisign, etc.) that are distributed with every browser.	PKI が実際に動作する方法は、ルートCA を介して行われます。 ルートCAは、各ブラウザに配布されている、よく知られたCA（Symantec、Verisignなど）の1つです。
In the case of many Hyperledger Fabric channel configurations, this is often a properly configured Fabric CA.	多くのHyperledger Fabricチャネル設定の場合では、多くは適切に設定されたFabric CAです。
This is known as the trust anchor; the trust anchor is self-certified and well-known.	これはトラスト アンカー (trust anchor) として知られています。
The root CA can sign leaf digital certificates (meaning certificates for entities that are not CAs), and also certificates for what are known as intermediate CAs.	トラスト アンカーは自己認証され、よく知られています。 ルートCAは、リーフ デジタル証明書（CAではない組織の証明書を意味します）に署名することも、中間CAと呼ばれるものの証明書に署名することもできます。
The difference between root CAs and intermediate CAs is the fact that the root CA self certifies its digital certificate and any intermediate CA certificate has to be signed by the root CA or an already established intermediate CA.	ルートCAと中間CAの違いは、ルートCAがデジタル証明書を自己認証しますが、どの中間CA証明書もルートCAまたはすでに確立されている中間CAによって署名されなければならない点です。
Intermediate CAs can sign certificates for other intermediate CAs as well as leaf digital certificates.	中間CAは、リーフ デジタル証明書だけでなく、他の中間CAの証明書にも署名できます。
The trust for any leaf digital certificate can be traced back to the root CA through a chain of unforgeable certificates, which is what is called the chain of trust.	リーフ デジタル証明書の信頼は、一連の偽造不可能な証明書を通してルートCAにたどり着くことができます。 これを信頼チェーンと呼びます。
Hyperledger Fabric developers created Fabric CA to function as a root CA as well as intermediate CA to be able to test as well as run business networks.	Hyperledger Fabricの開発者は、ビジネス ネットワークのテストと実行ができるように、ルートCAおよび中間CAとして機能するようにFabric CAを作成しました。
Hyperledger Fabric Membership Services employ a similar chain of trust.	Hyperledger Fabricメンバーシップ サービスは、同様の信頼チェーンを採用しています。
The Root CA of the Hyperledger Fabric channel ecosystem can create intermediate CAs.	Hyperledger Fabricチャネル エコシステムのルートCAは、中間CAを作成できます。
The root CA can bridge into the legacy systems of the enterprise through a series of CAs, back to the public, well-accepted external root CA as well.	ルートCAは、一連のCAを介して企業のレガシー システムにブリッジすることができ、パブリックで広く受け入れられている外部ルートCAにも戻ります。
This is how the Hyperledger Fabric Identity system functions in the context of large enterprises, and even cross-enterprise.	このようにして、Hyperledger Fabric Identityシステムは大企業、さらには企業間の関係で機能します。
The larger world of Identity Management systems in general is explained next.	次に一般的なアイデンティティ管理システムのより大きな世界について説明します。
PKI: Authorization	PKI：認可
Authorization is the ability to restrict an entity's access to certain read or write transactions.	認可 (Authorization) は、特定の読み取りまたは書き込みトランザクションへのエンティティに対するアクセスを制限する機能です。
Deploying or invoking chaincode is also implemented using the information available in the digital certificates.	チェーンコードのデプロイまたは呼び出しも、デジタル証明書で利用可能な情報を使用して実装されています。
Hyperledger Fabric uses Role Based Access Control (RBAC).	Hyperledger Fabricはロールベースアクセス制御（RBAC）を使用します。
We will explain in the following sections on how this is implemented in the context of channels and MSPs.	次のセクションでは、これがチャネルとMSPのコンテキストでどのように実装されるかについて説明します。
To summarize PKI, we have the following concepts:	PKIをまとめると、次のような概念になります。
● Public and private key pairs	• 公開鍵と秘密鍵のペア
● Digital certificates and revocation lists; the Hyperledger Fabric Identity system follows the X.509 standard	• デジタル証明書と失効リスト：Hyperledger Fabric IdentityシステムはX.509標準に準拠しています。
● Certificate authorities and the chain of trust	• 認証局と信頼チェーン
● Verification of the certificates and authorization.	• 証明書の検証と認可
Membership Services	メンバーシップ サービス
Membership Services authenticates, authorizes, and manages identities on a Hyperledger Fabric permissioned blockchain network.	メンバーシップ サービスは、Hyperledger Fabricパーミッションド ブロックチェーン ネットワーク上のIDを認証 (Authentication)、認可 (Authorization)、および管理します。
The membership services code that runs in peers and orderers both authenticates and authorizes blockchain operations.	peerとordererで実行されるメンバーシップ サービス コードは、ブロックチェーン操作の認証および認可を行います。
As mentioned before, Hyperledger Fabric creates a transactional network where all participants have known identities; these include organizations, network components, and end users or client applications.	前述のように、Hyperledger Fabricは、すべての参加者がID情報を持つトランザクションネットワークを作成します。 これらには、組織、ネットワーク コンポーネント、およびエンドユーザーまたはクライアント アプリケーションが含まれます。
Public Key Infrastructure is used to generate cryptographic certificates which are tied to these participants.	公開鍵基盤は、これらの参加者に関係付けられている暗号証明書の生成に使用されます。
As a result, user access control can be implemented on the network level, as well as on the channel level.	その結果、ユーザー アクセス制御は、ネットワーク レベルでもチャネル レベルでも実装できます。
Channel in Hyperledger Fabric is a segregated sub-network consisting of two or more participant organizational units created for the purpose of conducting private and confidential transactions.The concept of channels coupled with this access control helps address confidentiality and hence privacy of the data and chaincode deployment, execution and update.	Hyperledger Fabricのチャネルは、プライベート トランザクションと機密トランザクションを実行する目的で作成された、2つ以上の参加者の組織単位で構成される独立したサブネットワークです。 このアクセス制御と組み合わされたチャネルの概念は、機密保持、ひいてはデータのプライバシーとチェーンコード デプロイ、実行および更新を説明することに役立ちます。
Before we proceed further, we will provide a brief introduction to the concepts of Identities, Authentication and Authorization.	次に進む前に、アイデンティティ、認証、および認可の概念について簡単に紹介しましょう。
Membership Services: Identity	メンバーシップ サービス：アイデンティティ
In permissioned blockchain systems, Identity is essential, rich, decentralized, and reliable.	パーミッションド ブロックチェーン システムでは、アイデンティティは不可欠で、リッチで、非中央集権型であり、信頼性があります。
Let's look at each one of these concepts below.	それぞれの概念を見てみましょう。
Membership Services: Authentication and Authorization	メンバーシップ サービス：認証 (Authentication) と認可 (Authorization)
Authentication is the process of verifying Identity.	認証 (Authentication)は、身元を確認するプロセスです。
Hyperledger Fabric uses a PKI-based authentication scheme.	Hyperledger Fabricは、PKIベースの認証方式を使用しています。
The proof of possession of a secret (a private key) corresponding to the public key in the X.509 certificate authenticates the user's (or device's) Identity.	X.509証明書の公開鍵に対応する秘密（秘密鍵）を所持していることの証明は、ユーザー（またはデバイス）のIDを認証します。
