Glossary	Glossary (用語集)
The only organization that is involved in the issue transaction is MagnetoCorp.	発行(issue)トランザクションにおいて関係する唯一の組織は、MagnetoCorpです。
Naturally, MagnetoCorp needs to sign off on the transaction.	当然、MagnetoCorpがこのトランザクションに署名することが必要です。
In general, the issuer of a paper is required to sign off on a transaction that issues a new paper.	一般的に、コマーシャルペーパーの発行者が、それを発行するトランザクションに署名を行うことが必要となります。
Next, examine the buy transaction which transfers ownership of paper 00001 from MagnetoCorp to DigiBank: See how the buy transaction has fewer properties that end up in this paper.	次に、コマーシャルペーパー00001の所有権をMagnetoCorpからDigiBankに移す、購入(buy)トランザクションについて見てみましょう。購入(buy)トランザクションでは、コマーシャルペーパーに反映されるプロパティが少ないことに注目してください。
That's because this transaction only modifies this paper.	これは、このトランザクションが、コマーシャルペーパーを変更するだけだからです。
It's only `New owner = DigiBank` that changes as a result of this transaction; everything else is the same.	このトランザクションの結果として、変更が行われるのは、`New owner = DigiBank`(新所有者 = DigiBank)の部分だけであり、その他は変化ありません。
That's OK -- the most important thing about the buy transaction is the change of ownership, and indeed in this transaction, there's an acknowledgement of the current owner of the paper, MagnetoCorp.	このことは特に問題はなく、購入(buy)トランザクションの最も重要なことは、所有権の変更であり、実際このトランザクションにおいては、元の所有者であるMagnetoCorpの承認があります。
You might ask why the `Purchase time` and `Price` properties are not captured in paper 00001?	コマーシャルペーパー00001に、購入時刻(`Purchase time`)と購入価格(`Price`)が表れないのはなぜかと思うかもしれません。
This comes back to the difference between the transaction and the paper.	これは、トランザクションとコマーシャルペーパーの違いから来ているものです。
The 4.94 M USD price tag is actually a property of the transaction, rather than a property of this paper.	4.94M USDという値札は、コマーシャルペーパーのプロパティというよりも、トランザクションのプロパティであるからです。
Spend a little time thinking about this difference; it is not as obvious as it seems.	この違いについて少し考えてみてください。これは、そんなに自明なものではありません。
We're going to see later that the ledger will record both pieces of information -- the history of all transactions that affect this paper, as well its latest state.	後で、台帳は両方の情報、すなわち、コマーシャルペーパーを変更するすべてのトランザクションの履歴と最新のステートが記録されていることについて述べます。
Being clear on this separation of information is really important.	この情報の分離についてしっかりと理解しておくことは非常に重要です。
It's also worth remembering that paper 00001 may be bought and sold many times.	また、コマーシャルペーパー00001は複数回にわたって購入、売却されるかもしれないということも、考えに入れておくべきです。
Although we're skipping ahead a little in our scenario, let's examine what transactions we might see if paper 00001 changes ownership.	シナリオから少し離れてしまいますが、コマーシャルペーパー00001の所有者が変わった時に、あるかもしれないトランザクションについてみてみましょう。
If we have a purchase by BigFund: Followed by a subsequent purchase by HedgeMatic: See how the paper owners changes, and how in our example, the price changes.	もし、BigFundによる購入があったとします。そして次に、HedgeMaticによる次のような購入があったとします。コマーシャルペーパーの所有者がどのように変化し、そしてこの例でどのように価格が変化したかを見てください。
Can you think of a reason why the price of MagnetoCorp commercial paper might be falling?	MagnetoCorpのコマーシャルペーパーの価格が下落した理由について、何か思いつくでしょうか？
Intuitively, a buy transaction demands that both the selling as well as the buying organization need to sign off on such a transaction such that there is proof of the mutual agreement among the two parties that are part of the deal.	直観的には、購入(buy)トランザクションは、その取引に関わる二者の相互の合意の証拠となるように、購入する組織と同時に売却する組織の両方が、そのトランザクションに署名することが必要です。
The redeem transaction for paper 00001 represents the end of its lifecycle.	コマーシャルペーパー00001の現金化(redeem)のトランザクションは、そのライフサイクルの最後を表しています。
In our relatively simple example, HedgeMatic initiates the transaction which transfers the commercial paper back to MagnetoCorp: Again, notice how the redeem transaction has very few properties; all of the changes to paper 00001 can be calculated data by the redeem transaction logic: the `Issuer` will become the new owner, and the `Current state` will change to `redeemed`.	この比較的単純な例では、HedgeMaticがMagnetoCorpにコマーシャルペーパーを戻すトランザクションを開始します。この現金化(redeem)トランザクションのプロパティが非常に少ないことに注目してください。コマーシャルペーパー00001に対する変更は、現金化のトランザクションのロジックによってすべて計算することができます。発行者(`Issuer`)が新しい所有者となり、現在の状態(`Current state`)は現金化済み(`redeemed`)に変更されます。
The `Current owner` property is specified in our example, so that it can be checked against the current holder of the paper.	現在のコマーシャルペーパーの保持者とチェックをするために、現在の所有者(`Current owner`)プロパティが含まれています。
From a trust perspective, the same reasoning of the buy transaction also applies to the redeem instruction: both organizations involved in the transaction are required to sign off on it.	信頼という観点からすると、購入(buy)トランザクションと同じ理由付けが、現金化(redeem)の指示に対しても適用され、トランザクションに関わる二つの組織の両方がトランザクションに署名することが必要となります。
In this topic, we've seen how transactions and the resultant paper states are the two most important concepts in PaperNet.	このトピックでは、トランザクションとその結果としてのコマーシャルペーパーのステートが、PaperNetにおける二つの最も重要な概念であることをみてきました。
Indeed, we'll see these two fundamental elements in any Hyperledger Fabric distributed [ledger](../ledger/ledger.html) -- a world state, that contains the current value of all objects, and a blockchain that records the history of all transactions that resulted in the current world state.	実際、この二つの基本的な要素は、Hyperledger Fabricのいかなる分散[台帳](../ledger/ledger.html)においても見ることができます。すべてのオブジェクトの現在の値をもつワールドステートと、現在のワールドステートをもたらしているすべてのトランザクションの履歴を記録するブロックチェーンです。
The required sign-offs on transactions are enforced through rules, which are evaluated before appending a transaction to the ledger.	トランザクションに対する必要な署名は、台帳にトランザクションを追加するときに評価されるルールを通じて強制されます。
Only if the required signatures are present, Fabric will accept a transaction as valid.	必要な署名がそろっている場合のみ、Fabricはトランザクションを妥当なもの(valid)として受け入れます。
You're now in a great place translate these ideas into a smart contract.	今このような考えをスマートコントラクトに変換するのにちょうどよいところにいます。
Don't worry if your programming is a little rusty, we'll provide tips and pointers to understand the program code.	プログラムの能力が少し衰えているなと思っていても心配しないでください。プログラムコードを理解するためのヒントや参照すべき場所をお伝えします。
Mastering the commercial paper smart contract is the first big step towards designing your own application.	コマーシャルペーパーのスマートコントラクトをマスターすることは、独自のアプリケーションを設計するうえで大きな一歩となります。
Or, if you're a business analyst who's comfortable with a little programming, don't be afraid to keep dig a little deeper!	もし、あまりプログラムを作らないビジネスアナリストでしたら、ためらわずにより深く見ていきましょう!
The Hyperledger Requirements WG is documenting a number of blockchain use cases and maintaining an inventory `here <https://wiki.hyperledger.org/display/LMDWG/Use+Cases>`__.	Hyperledger Requirements WGは、多くのブロックチェーンのユースケースを文書化し、`こちら <https://wiki.hyperledger.org/display/LMDWG/Use+Cases>`__ で管理しています。
After you have downloaded the Hyperledger Fabric Docker images and samples, you can deploy a test network by using scripts that are provided in the `fabric-samples` repository.	Hyperledger FabricのDockerイメージとサンプルをダウンロードした後、`fabric-samples`リポジトリで提供されているスクリプトを使用してテストネットワークをデプロイできます。
You can use the test network to learn about Fabric by running nodes on your local machine.	テストネットワークを使用して、ローカルマシンでノードを実行することにより、Fabricについて学習できます。
More experienced developers can use the network to test their smart contracts and applications.	より経験豊富な開発者は、このテストネットワークを使用してスマートコントラクトとアプリケーションをテストできます。
The network is meant to be used only as a tool for education and testing.	このテストネットワークは、教育とテストのためのツールとしてのみ使用することを目的としています。
It should not be used as a template for deploying a production network.	本番用ネットワークをデプロイするためのテンプレートとして使用しないでください。
The test network is being introduced in Fabric v2.0 as the long term replacement for the `first-network` sample.	テストネットワークは、`first-network`サンプルの長期的な代替としてFabric v2.0に導入されています。
The sample network deploys a Fabric network with Docker Compose.	このサンプルネットワークでは、Docker Composeを使用してFabricネットワークをデプロイします。
Because the nodes are isolated within a Docker Compose network, the test network is not configured to connect to other running fabric nodes.	ノードはDocker Composeネットワーク内で分離されているため、テストネットワークは他の実行中のFabricのノードに接続するようには設定されていません。
Note: These instructions have been verified to work against the latest stable Docker images and the pre-compiled setup utilities within the supplied tar file.	注: これらの手順は、最新の安定版Dockerイメージと、提供されるtarファイル内のコンパイル済みセットアップユーティリティに対して動作することが確認されています。
If you run these commands with images or tools from the current master branch, it is possible that you will encounter errors.	現在のmasterブランチのイメージまたはツールを使用してこれらのコマンドを実行すると、エラーが発生する可能性があります。
Before you can run the test network, you need to clone the `fabric-samples` repository and download the Fabric images.	テストネットワークを実行する前に、`fabric-samples`リポジトリのクローンを作成し、Fabricのイメージをダウンロードする必要があります。
Make sure that you have installed the [Prerequisites](prereqs.html) and [Installed the Samples, Binaries and Docker Images](install.html).	その準備をするためには、[前提条件](prereqs.html) と[サンプル、バイナリ、Dockerイメージのインストール](install.html) を確認してください。
You can find the scripts to bring up the network in the `test-network` directory of the ``fabric-samples`` repository.	ネットワークを起動するためのスクリプトは、``fabric-samples``リポジトリの`test-network`ディレクトリにあります。
Navigate to the test network directory by using the following command:	次のコマンドを使用して、テストネットワークディレクトリに移動します:
In this directory, you can find an annotated script, ``network.sh``, that stands up a Fabric network using the Docker images on your local machine.	このディレクトリには、ローカルマシン上のDockerイメージを使用してFabricネットワークを立ち上げる注釈付きスクリプト``network.sh``があります。
You can run ``./network.sh -h`` to print the script help text:	``./network.sh -h``を実行して、スクリプトのヘルプテキストを表示できます:
'up' - bring up fabric orderer and peer nodes.	'up' - FabricのOrdererとピアノードを起動します。
No channel is created	チャネルは作成されません。
'up createChannel' - bring up fabric network with one channel	'up createChannel' - 1つのチャネルを持つFabricネットワークを起動します。
'createChannel' - create and join a channel after the network is created	'createChannel' - ネットワークが作られた後に、チャネルを作成して参加します。
'deployCC' - deploy the fabcar chaincode on the channel	'deployCC' - fabcarチェーンコードをチャネル上にデプロイします。
'down' - clear the network with docker-compose down	'down' - docker-compose downを用いてネットワークをクリアします。
'restart' - restart the network	'restart' - ネットワークを再起動します。
-ca <use CAs> -  create Certificate Authorities to generate the crypto material	-ca <use CAs> - 暗号マテリアル (crypto material) を生成するための認証局(CA)を作成します。
-c <channel name> - channel name to use (defaults to "mychannel")	-c <channel name> - 使用するチャネル名 (デフォルトは"mychannel")
-s <dbtype> - the database backend to use: goleveldb (default) or couchdb	-s <dbtype> - 使用するデータベースのバックエンド: goleveldb (デフォルト) or couchdb
-r <max retry> - CLI times out after certain number of attempts (defaults to 5)	-r <max retry> - CLIは指定した回数の試行後にタイムアウトします (デフォルトは5)
-d <delay> - delay duration in seconds (defaults to 3)	-d <delay> - 遅延時間 (秒単位で指定) (デフォルトは3)
-l <language> - the programming language of the chaincode to deploy: go (default), java, javascript, typescript	-l <language> - デプロイするチェーンコードのプログラミング言語: go (デフォルト), java, javascript, typescript
-v <version>  - chaincode version.	-v <version>  - チェーンコードのバージョン。
Must be a round number, 1, 2, 3, etc	1, 2, 3などの整数でなければいけません。
-i <imagetag> - the tag to be used to launch the network (defaults to "latest")	-i <imagetag> - ネットワークの起動に利用されるDockerイメージタグ (デフォルトは"latest")
-cai <ca_imagetag> - the image tag to be used for CA (defaults to "1.4.6")	-cai <ca_imagetag> - CAに利用されるDockerイメージタグ (デフォルトは"1.4.6")
-verbose - verbose mode network.sh -h (print this message)	-verbose - verboseモードnetwork.sh -h (このメッセージを表示)
From inside the `test-network` directory, run the following command to remove any containers or artifacts from any previous runs:	`test-network`ディレクトリ内で、次のコマンドを実行して、以前に実行したコンテナやアーティファクトを削除します:
You can then bring up the network by issuing the following command.	そして、次のコマンドを発行することでネットワークを立ち上げることができます。
You will experience problems if you try to run the script from another directory:	もし別のディレクトリからスクリプトを実行しようとすると問題が発生します:
This command creates a Fabric network that consists of two peer nodes, one ordering node.	このコマンドは、2つのピアノードと1つのOrdererノードからなるFabricネットワークを作成します。
No channel is created when you run `./network.sh up`, though we will get there in a [future step](#creating-a-channel).	`./network.sh up`を実行してもチャネルは作成されませんが、これについては[後のステップ](#creating-a-channel) で説明します。
If the command completes successfully, you will see the logs of the nodes being created:	コマンドが正常に完了すると、作成されたノードのログが表示されます:
If you don't get this result, jump down to [Troubleshooting](#troubleshooting) for help on what might have gone wrong.	上記のような結果が得られない場合は、[トラブルシューティング](#troubleshooting) に移動して、何が間違っているのかを確認してください。
By default, the network uses the cryptogen tool to bring up the network.	デフォルトでは、ネットワークはcryptogenツールを使用してネットワークを起動します。
However, you can also [bring up the network with Certificate Authorities](#bring-up-the-network-with-certificate-authorities).	しかし、CAを使用することもできます ([認証局を使ったネットワークを立ち上げる](#bring-up-the-network-with-certificate-authorities) 参照)。
After your test network is deployed, you can take some time to examine its components.	テストネットワークがデプロイされたら、しばらく時間をかけてそのコンポーネントを調べることができます。
Run the following command to list all of Docker containers that are running on your machine.	次のコマンドを実行して、マシンで実行されているすべてのDockerコンテナを一覧表示します。
You should see the three nodes that were created by the `network.sh` script:	`network.sh`スクリプトによって作成された3つのノードが表示されます:
Each node and user that interacts with a Fabric network needs to belong to an organization that is a network member.	Fabricネットワーク上でやりとりする各ノードおよびユーザーは、ネットワークメンバーである組織に所属する必要があります。
The group of organizations that are members of a Fabric network are often referred to as the consortium.	Fabricネットワークのメンバーである組織のグループは、しばしばコンソーシアムと呼ばれます。
The test network has two consortium members, Org1 and Org2.	テストネットワークには、Org1とOrg2の2つのコンソーシアムメンバーがいます。
The network also includes one orderer organization that maintains the ordering service of the network.	また、ネットワークのオーダリングサービスを維持するオーダリング組織 (orderer organization) が1つ含まれています。
[Peers](peers/peers.html) are the fundamental components of any Fabric network.	[ピア](peers/peers.html) は、あらゆるFabricネットワークの基本的なコンポーネントです。
Peers store the blockchain ledger and validate transactions before they are committed to the ledger.	ピアはブロックチェーン台帳を保存し、台帳にコミットする前にトランザクションを検証します。
Peers run the smart contracts that contain the business logic that is used to manage the assets on the blockchain ledger.	ピアは、ブロックチェーン台帳上の資産を管理するために使用されるビジネスロジックを含むスマートコントラクトを実行します。
Every peer in the network needs to belong to a member of the consortium.	ネットワーク内のすべてのピアは、コンソーシアムのメンバーに属している必要があります。
In the test network, each organization operates one peer each, `peer0.org1.example.com` and `peer0.org2.example.com`.	テストネットワークでは、各組織がそれぞれ1つのピア`peer0.org1.example.com`と`peer0.org2.example.com`を動かしています。
Every Fabric network also includes an [ordering service](orderer/ordering_service.html).	すべてのFabricネットワークには、[オーダリングサービス](orderer/ordering_service.html) も含まれています。
While peers validate transactions and add blocks of transactions to the blockchain ledger, they do not decide on the order of transactions or include them into new blocks.	ピアはトランザクションを検証し、トランザクションのブロックをブロックチェーン台帳に追加しますが、トランザクションの順序を決定したり、トランザクションを新しいブロックに追加したりすることはありません。
On a distributed network, peers may be running far away from each other and not have a common view of when a transaction was created.	分散ネットワークでは、ピアはお互いに離れた場所にあって、トランザクションがいつ作成されたかについて共通の見解を持っていないかもしれません。
Coming to consensus on the order of transactions is a costly process that would create overhead for the peers.	トランザクションの順序について合意を得ることは、ピアのオーバーヘッドを生み出すコストのかかるプロセスです。
An ordering service allows peers to focus on validating transactions and committing them to the ledger.	オーダリングサービスにより、ピアはトランザクションの検証と台帳へのコミットに集中できます。
After ordering nodes receive endorsed transactions from clients, they come to consensus on the order of transactions and then add them to blocks.	オーダリングノードは、クライアントからエンドースされたトランザクションを受信した後、トランザクションの順序について合意に至り、ブロックに追加します。
The blocks are then distributed to peer nodes, which add the blocks the blockchain ledger.	その後、ブロックはピアノードに配布され、ピアノードがブロックチェーン台帳にブロックを追加します。
Ordering nodes also operate the system channel that defines the capabilities of a Fabric network, such as how blocks are made and which version of Fabric that nodes can use.	オーダリングノードは、ブロックの作成方法やノードが使用できるFabricのバージョンなど、Fabricネットワークのケーパビリティを定義するシステムチャネルも操作します。
The system channel defines which organizations are members of the consortium.	システムチャネルは、どの組織がコンソーシアムのメンバーであるかを定義します。
The sample network uses a single node Raft ordering service that is operated by the ordering organization.	今回のサンプルネットワークは、オーダリング組織によって運用されている単一ノードによるRaftオーダリングサービスを使用しています。
You can see the ordering node running on your machine as `orderer.example.com`.	マシン上で実行されているオーダリングノードは`orderer.example.com`と表示されます。
While the test network only uses a single node ordering service, a real network would have multiple ordering nodes, operated by one or multiple orderer organizations.	テストネットワークは単一ノードのオーダリングサービスのみを使用しますが、実際のネットワークには複数のオーダリングノードがあり、1つまたは複数のオーダリング組織によって運用されます。
The different ordering nodes would use the Raft consensus algorithm to come to agreement on the order of transactions across the network.	複数のオーダリングノードは、Raft合意形成アルゴリズムを使用して、ネットワーク全体のトランザクションの順序について合意します。
Now that we have peer and orderer nodes running on our machine, we can use the script to create a Fabric channel for transactions between Org1 and Org2.	マシン上ではピアノードとOrdererノードが実行されているので、本スクリプトを使用して、Org1とOrg2の間のトランザクションを行うためのFabricのチャネルを作成できます。
Channels are a private layer of communication between specific network members.	チャネルは、特定のネットワークメンバー間の通信のプライベートレイヤーです。
Channels can be used only by organizations that are invited to the channel, and are invisible to other members of the network.	チャネルは、チャネルに招待された組織のみが使用でき、ネットワークのその他のメンバーには見えません。
Each channel has a separate blockchain ledger.	各チャネルには、個別のブロックチェーン台帳があります。
Organizations that have been invited "join" their peers to the channel to store the channel ledger and validate the transactions on the channel.	招待された組織は、ピアをチャネルに「参加」させて、チャネル台帳にデータを保存したり、チャネル上でのトランザクションを検証したりします。
You can use the `network.sh` script to create a channel between Org1 and Org2 and join their peers to the channel.	`network.sh`スクリプトを使用して、Org1とOrg2間のチャネルを作成し、それらのピアをチャネルに参加させることができます。
Run the following command to create a channel with the default name of `mychannel`:	次のコマンドを実行して、`mychannel`というデフォルトの名前でチャネルを作成します:
If the command was successful, you can see the following message printed in your logs:	コマンドが成功した場合、コンソールログに以下のようなメッセージが表示されます:
========= Channel successfully joined ===========	========= Channel successfully joined ===========
You can also use the channel flag to create a channel with custom name.	チャネルフラグを使用して、名前をカスタマイズしたチャネルを作成することもできます。
As an example, the following command would create a channel named `channel1`:	例として、次のコマンドは`channel1`という名前のチャネルを作成します:
The channel flag also allows you to create multiple channels by specifying different channel names.	チャネルフラグを使用すると、異なるチャネル名を指定して複数のチャネルを作成することもできます。
After you create `mychannel` or `channel1`, you can use the command below to create a second channel named `channel2`:	`mychannel`または`channel1`を作成した後、以下のコマンドを使用して、`channel2`という名前の2番目のチャネルを作成できます:
If you want to bring up the network and create a channel in a single step, you can use the `up` and `createChannel` modes together:	1つのステップでネットワークを立ち上げてチャネルを作成したい場合は、`up`モードと`createChannel`モードを一緒に使用できます:
After you have created a channel, you can start using [smart contracts](smartcontract/smartcontract.html) to interact with the channel ledger.	チャネルを作成したら、[スマートコントラクト](smartcontract/smartcontract.html) を使用してチャネル台帳とやり取りできるようになります。
Smart contracts contain the business logic that governs assets on the blockchain ledger.	スマートコントラクトには、ブロックチェーン台帳上の資産を管理するビジネスロジックが含まれています。
Applications run by members of the network can invoke smart contracts to create assets on the ledger, as well as change and transfer those assets.	ネットワークメンバーによって実行されるアプリケーションは、スマートコントラクトを呼び出して、台帳上に資産を作成したり、それらの資産を変更および譲渡したりできます。
Applications also query smart contracts to read data on the ledger.	アプリケーションはまた、スマートコントラクトを参照して、台帳上のデータを読み取ります。
To ensure that transactions are valid, transactions created using smart contracts typically need to be signed by multiple organizations to be committed to the channel ledger.	トランザクションが有効であることを保証するために、スマートコントラクトを使用して作成されたトランザクションは、通常、チャネル台帳にコミットするために複数の組織によって署名される必要があります。
Multiple signatures are integral to the trust model of Fabric.	複数の署名は、Fabricの信頼モデルに不可欠です。
Requiring multiple endorsements for a transaction prevents one organization on a channel from tampering with the ledger on their peer or using business logic that was not agreed to.	トランザクションに複数のエンドースメントを要求することで、チャネル上の1つの組織が台帳を改ざんしたり、合意されていないビジネスロジックを使用したりするのを防ぎます。
To sign a transaction, each organization needs to invoke and execute the smart contract on their peer, which then signs the output of the transaction.	トランザクションに署名するには、各組織がピア上でスマートコントラクトを呼び出して実行する必要があり、ピアがトランザクションの出力に署名します。
If the output is consistent and has been signed by enough organizations, the transaction can be committed to the ledger.	出力に一貫性があり、十分な組織によって署名されている場合、トランザクションは台帳にコミットできます。
The policy that specifies the set organizations on the channel that need to execute the smart contract is referred to as the endorsement policy, which is set for each chaincode as part of the chaincode definition.	スマートコントラクトを実行する必要がある、チャネル上の設定された組織を指定するポリシーは、エンドースメントポリシーと呼ばれ、チェーンコード定義の一部としてチェーンコードごとに設定されます。
In Fabric, smart contracts are deployed on the network in packages referred to as chaincode.	Fabricでは、スマートコントラクトはチェーンコードと呼ばれるパッケージでネットワークにデプロイされます。
A Chaincode is installed on the peers of an organization and then deployed to a channel, where it can then be used to endorse transactions and interact with the blockchain ledger.	チェーンコードは組織のピアにインストールされてからチャネルにデプロイされ、その後トランザクションをエンドースしてブロックチェーン台帳とやり取りするために使用できます。
Before a chaincode can be deployed to a channel, the members of the channel need to agree on a chaincode definition that establishes chaincode governance.	チェーンコードをチャネルにデプロイする前に、チャネルのメンバーは、チェーンコードのガバナンスを確立するチェーンコード定義について合意する必要があります。
When the required number of organizations agree, the chaincode definition can be committed to the channel, and the chaincode is ready to be used.	必要な数の組織が同意すると、チェーンコード定義をチャネルにコミットでき、チェーンコードを使用できるようになります。
After you have used the `network.sh` to create a channel, you can start a chaincode on the channel using the following command:	`network.sh`を使用してチャネルを作成した後、次のコマンドを使用してチャネル上でチェーンコードを開始することができます:
The `deployCC` subcommand will install the fabcar chaincode on ``peer0.org1.example.com`` and ``peer0.org2.example.com`` and then deploy the chaincode on the channel specified using the channel flag (or `mychannel` if no channel is specified).	`deployCC`サブコマンドは、 fabcar チェーンコードを``peer0.org1.example.com``と``peer0.org2.example.com``にインストールし、チャネルフラグを使用して指定されたチャネルにチェーンコードをデプロイします (チャネルが指定されていない場合は`mychannel`)。
If you are deploying a chaincode for the first time, the script will install the chaincode dependencies.	チェーンコードを初めてデプロイする場合、本スクリプトはチェーンコードの依存関係をインストールします。
By default, The script installs the Go version of the fabcar chaincode.	デフォルトでは、本スクリプトはfabcarチェーンコードのGo版をインストールします。
However, you can use the language flag, `-l`, to install the Java or javascript versions of the chaincode.	ただし、言語フラグ `-l`を使用して、Javaまたはjavascript版のチェーンコードをインストールできます。
You can find the Fabcar chaincode in the `chaincode` folder of the `fabric-samples` directory.	fabcarチェーンコードは、`fabric-samples`ディレクトリの`chaincode`フォルダにあります。
This folder contains sample chaincode that are provided as examples and used by tutorials to highlight Fabric features.	このフォルダには、例として提供され、チュートリアル内でFabricの機能を強調するために使用されるサンプルチェーンコードが含まれています。
After the fabcar chaincode definition has been committed to the channel, the script initializes the chaincode by invoking the `init` function and then invokes the chaincode to put an initial list of cars on the ledger.	fabcarのチェーンコード定義がチャネルにコミットされた後、本スクリプトは`init`関数を呼び出してチェーンコードを初期化し、チェーンコードを呼び出して車の初期リストを台帳に格納します。
The script then queries the chaincode to verify that the data was added.	次に、本スクリプトはチェーンコードを参照して、データが追加されたことを確認します。
If the chaincode was installed, deployed, and invoked correctly, you should see the following list of cars printed in your logs:	チェーンコードが正しくインストール、デプロイ、呼び出しされた場合、ログに以下のような車のリストが表示されているはずです:
After you bring up the test network, you can use the `peer` CLI to interact with your network.	テストネットワークを起動したら、`peer` CLIを使用してそのネットワークとやり取りできます。
The `peer` CLI allows you to invoke deployed smart contracts, update channels, or install and deploy new smart contracts from the CLI.	`peer` CLIを使用すると、デプロイされたスマートコントラクトを呼び出したり、チャネルを更新したり、CLIから新しいスマートコントラクトをインストールしてデプロイしたりできます。
Make sure that you are operating from the `test-network` directory.	`test-network`ディレクトリから操作していることを確認してください。
If you followed the instructions to [install the Samples, Binaries and Docker Images](install.html), You can find the `peer` binaries in the `bin` folder of the `fabric-samples` repository.	[サンプル、バイナリ、Dockerイメージのインストール](install.html) の手順に従った場合、`fabric-samples`リポジトリの`bin`フォルダに`peer`バイナリがあります。
Use the following command to add those binaries to your CLI Path:	次のコマンドを使用して、これらのバイナリをパスに追加します:
You also need to set the `FABRIC_CFG_PATH` to point to the `core.yaml` file in the `fabric-samples` repository:	また、`fabric-samples`リポジトリ内の`core.yaml`ファイルを指すように`FABRIC_CFG_PATH`を設定する必要があります:
You can now set the environment variables that allow you to operate the `peer` CLI as Org1:	以下で、`peer` CLIをOrg1として操作できるようにする環境変数を設定できます:
Environment variables for Org1	Org1用の環境変数
export CORE_PEER_TLS_ENABLED=true	export CORE_PEER_TLS_ENABLED=true
export CORE_PEER_LOCALMSPID="Org1MSP"	export CORE_PEER_LOCALMSPID="Org1MSP"
@@ -300,18 +259,15 @@ export CORE_PEER_MSPCONFIGPATH=${PWD}/organizations/peerOrganizations/org1.examp	@@ -300,18 +259,15 @@ export CORE_PEER_MSPCONFIGPATH=${PWD}/organizations/peerOrganizations/org1.examp
export CORE_PEER_ADDRESS=localhost:7051	export CORE_PEER_ADDRESS=localhost:7051
The `CORE_PEER_TLS_ROOTCERT_FILE` and `CORE_PEER_MSPCONFIGPATH` environment variables point to the Org1 crypto material in the `organizations` folder.	`CORE_PEER_TLS_ROOTCERT_FILE` および `CORE_PEER_MSPCONFIGPATH` 環境変数は、`organizations` フォルダ内のOrg1の暗号マテリアルを指しています。
If you used `./network.sh deployCC` to install and start the fabcar chaincode, you can now query the ledger from your CLI.	`./network.sh deployCC`を使用してfabcarチェーンコードをインストールして開始している場合、CLIから台帳にクエリを実行できます。
Run the following command to get the list of cars that were added to your channel ledger:	次のコマンドを実行して、チャネル台帳に追加された車のリストを取得します:
peer chaincode query -C mychannel -n fabcar -c '{"Args":["queryAllCars"]}'	peer chaincode query -C mychannel -n fabcar -c '{"Args":["queryAllCars"]}'
If the command is successful, you can see the same list of cars that were printed in the logs when you ran the script:	このコマンドが成功した場合、スクリプトを実行したときにログに表示されたものと同じ車のリストを確認できるはずです:
[{"Key":"CAR0", "Record":{"make":"Toyota","model":"Prius","colour":"blue","owner":"Tomoko"}},	[{"Key":"CAR0", "Record":{"make":"Toyota","model":"Prius","colour":"blue","owner":"Tomoko"}},
{"Key":"CAR1", "Record":{"make":"Ford","model":"Mustang","colour":"red","owner":"Brad"}},	{"Key":"CAR1", "Record":{"make":"Ford","model":"Mustang","colour":"red","owner":"Brad"}},
@@ -325,35 +281,30 @@ in the logs when you ran the script:	@@ -325,35 +281,30 @@ in the logs when you ran the script:
{"Key":"CAR9", "Record":{"make":"Holden","model":"Barina","colour":"brown","owner":"Shotaro"}}]	{"Key":"CAR9", "Record":{"make":"Holden","model":"Barina","colour":"brown","owner":"Shotaro"}}]
Chaincodes are invoked when a network member wants to transfer or change an asset on the ledger.	チェーンコードは、ネットワークメンバーが台帳の資産を譲渡または変更するときに呼び出されます。
Use the following command to change the owner of a car on the ledger by invoking the fabcar chaincode:	次のコマンドを使用して、fabcarチェーンコードを呼び出して台帳上の車の所有者を変更します:
peer chaincode invoke -o localhost:7050 --ordererTLSHostnameOverride orderer.example.com --tls --cafile ${PWD}/organizations/ordererOrganizations/example.com/orderers/orderer.example.com/msp/tlscacerts/tlsca.example.com-cert.pem -C mychannel -n fabcar --peerAddresses localhost:7051 --tlsRootCertFiles ${PWD}/organizations/peerOrganizations/org1.example.com/peers/peer0.org1.example.com/tls/ca.crt --peerAddresses localhost:9051 --tlsRootCertFiles ${PWD}/organizations/peerOrganizations/org2.example.com/peers/peer0.org2.example.com/tls/ca.crt -c '{"function":"changeCarOwner","Args":["CAR9","Dave"]}'	peer chaincode invoke -o localhost:7050 --ordererTLSHostnameOverride orderer.example.com --tls --cafile ${PWD}/organizations/ordererOrganizations/example.com/orderers/orderer.example.com/msp/tlscacerts/tlsca.example.com-cert.pem -C mychannel -n fabcar --peerAddresses localhost:7051 --tlsRootCertFiles ${PWD}/organizations/peerOrganizations/org1.example.com/peers/peer0.org1.example.com/tls/ca.crt --peerAddresses localhost:9051 --tlsRootCertFiles ${PWD}/organizations/peerOrganizations/org2.example.com/peers/peer0.org2.example.com/tls/ca.crt -c '{"function":"changeCarOwner","Args":["CAR9","Dave"]}'
If the command is successful, you should see the following response:	このコマンドが成功した場合、以下の応答を確認できると思います:
2019-12-04 17:38:21.048 EST [chaincodeCmd] chaincodeInvokeOrQuery -> INFO 001 Chaincode invoke successful.	2019-12-04 17:38:21.048 EST [chaincodeCmd] chaincodeInvokeOrQuery -> INFO 001 Chaincode invoke successful.
result: status:200	result: status:200
